customer,age,gender,salary,shirt_size,location,marital_status,transport,education
1,24,Female,98256,M,Perth,Single,Train,Masters
2,51,Male,99684,S,Perth,Married,Bus,Masters
3,53,Male,76851,M,Perth,Married,Bicycle,Bachelor
4,35,Male,10329,S,Perth,Married,Bus,Masters
5,57,Female,38384,M,Brisbane,Married,Bicycle,Bachelor
6,19,Male,63657,S,Melbourne,Divorced,Car,Masters
7,50,Male,20811,L,Brisbane,Married,Bicycle,PhD
8,43,Female,67489,S,Melbourne,Single,Bicycle,Secondary
9,54,Female,78614,S,Brisbane,Divorced,Bicycle,Masters
10,25,Male,90873,L,Melbourne,Single,Bus,Secondary
11,24,Male,30722,L,Brisbane,Divorced,Train,Secondary
12,43,Female,24107,M,Melbourne,Divorced,Bicycle,Bachelor
13,60,Male,36784,S,Melbourne,Married,Train,Secondary
14,41,Female,13511,L,Melbourne,Married,Car,Secondary
15,29,Female,69617,M,Brisbane,Married,Train,Secondary
16,28,Female,78964,S,Melbourne,Single,Bicycle,Secondary
17,45,Female,13946,L,Melbourne,Single,Bus,Secondary
18,50,Female,92068,L,Sydney,Divorced,Train,PhD
19,22,Male,15462,L,Brisbane,Single,Car,Secondary
20,49,Male,92635,M,Melbourne,Married,Car,PhD
21,21,Male,55105,M,Sydney,Divorced,Car,Secondary
22,43,Female,72468,L,Perth,Divorced,Bicycle,PhD
23,27,Female,96048,L,Brisbane,Single,Bicycle,Secondary
24,27,Male,77786,S,Perth,Divorced,Car,Masters
25,29,Male,52745,L,Brisbane,Single,Bus,Masters
26,28,Male,49686,S,Perth,Single,Train,PhD
27,36,Male,69076,M,Melbourne,Divorced,Bus,Secondary
28,56,Female,10144,L,Melbourne,Married,Bus,Secondary
29,30,Male,62627,L,Melbourne,Married,Bicycle,Masters
30,34,Male,28524,L,Brisbane,Divorced,Car,Masters
31,48,Female,33192,S,Perth,Divorced,Train,Bachelor
32,55,Female,65907,S,Sydney,Married,Car,Masters
33,20,Female,72692,S,Sydney,Single,Bus,Bachelor
34,37,Male,89529,L,Brisbane,Married,Bicycle,PhD
35,22,Male,74166,M,Sydney,Single,Car,Bachelor
36,51,Female,70891,S,Melbourne,Single,Bus,Bachelor
37,18,Female,56835,S,Perth,Single,Train,Bachelor
38,59,Female,64583,L,Perth,Single,Bus,Secondary
39,54,Male,61833,S,Perth,Married,Car,Masters
40,24,Female,70577,M,Perth,Married,Car,Masters
41,47,Male,14254,L,Melbourne,Married,Bicycle,Bachelor
42,24,Male,76508,M,Brisbane,Divorced,Car,Bachelor
43,44,Female,92572,L,Melbourne,Single,Car,Secondary
44,58,Male,58046,M,Perth,Married,Car,Secondary
45,38,Female,47316,L,Melbourne,Single,Bus,Masters
46,37,Female,81867,L,Brisbane,Married,Car,PhD
47,39,Male,41573,S,Sydney,Divorced,Train,Masters
48,23,Female,81932,S,Melbourne,Single,Train,PhD
49,42,Male,93798,S,Sydney,Single,Car,PhD
50,21,Female,72370,M,Sydney,Single,Bus,Masters
51,47,Male,70220,M,Melbourne,Married,Bus,PhD
52,30,Male,92939,S,Sydney,Single,Bus,Secondary
53,33,Female,45571,L,Perth,Married,Car,Bachelor
54,20,Female,64153,S,Sydney,Married,Bus,PhD
55,23,Male,14744,S,Melbourne,Divorced,Car,Bachelor
56,56,Male,91641,M,Brisbane,Married,Car,Bachelor
57,49,Male,42549,S,Melbourne,Married,Bus,Masters
58,18,Female,90813,M,Brisbane,Married,Bicycle,Bachelor
59,18,Female,45244,L,Perth,Single,Bicycle,Masters
60,41,Female,17323,M,Brisbane,Single,Train,PhD
61,59,Male,69958,M,Melbourne,Divorced,Bicycle,Bachelor
62,30,Female,91530,L,Brisbane,Divorced,Car,Masters
63,53,Male,12131,L,Melbourne,Divorced,Car,Secondary
64,22,Male,40026,S,Perth,Single,Bus,Masters
