Product,Value,Location,Time
Tomato,96,Canberra,Morning
Fish,69,Sydney,Afternoon
Shampoo,12,Canberra,Morning
Carrot,81,Melbourne,Morning
Fish,93,Sydney,Afternoon
Carrot,31,Perth,Afternoon
Fish,50,Sydney,Afternoon
Soap,42,Perth,Morning
Banana,24,Canberra,Afternoon
Fish,36,Canberra,Afternoon
Pie,34,Canberra,Afternoon
Carrot,93,Brisbane,Morning
Shampoo,53,Brisbane,Afternoon
Pie,47,Melbourne,Morning
Orange,25,Sydney,Afternoon
Fish,57,Melbourne,Afternoon
Tomato,50,Perth,Morning
Pie,5,Canberra,Morning
Banana,43,Brisbane,Morning
Fish,29,Brisbane,Afternoon
Fish,77,Melbourne,Afternoon
Soap,13,Canberra,Morning
Soap,80,Brisbane,Afternoon
Pie,75,Melbourne,Afternoon
Shampoo,68,Canberra,Morning
Orange,68,Perth,Morning
Pie,96,Perth,Afternoon
Cookie,27,Brisbane,Morning
Orange,57,Brisbane,Afternoon
Fish,80,Perth,Afternoon
Cookie,55,Perth,Afternoon
Chicken,12,Perth,Morning
Soap,46,Brisbane,Afternoon
Pie,9,Canberra,Afternoon
Soap,14,Perth,Morning
Tomato,80,Melbourne,Afternoon
Carrot,93,Sydney,Morning
Banana,47,Perth,Morning
Shampoo,75,Canberra,Morning
Fish,65,Perth,Afternoon
Pie,71,Melbourne,Afternoon
Orange,72,Sydney,Afternoon
Shampoo,42,Melbourne,Morning
Cookie,75,Melbourne,Morning
Pie,68,Brisbane,Morning
Pie,73,Canberra,Afternoon
Chicken,81,Melbourne,Afternoon
Pie,11,Melbourne,Afternoon
Chicken,16,Perth,Afternoon
Pie,77,Melbourne,Afternoon
Banana,87,Canberra,Morning
Fish,62,Brisbane,Morning
Banana,22,Perth,Afternoon
Orange,85,Brisbane,Morning
Tomato,37,Brisbane,Morning
Banana,87,Brisbane,Afternoon
Banana,98,Perth,Morning
Tomato,63,Brisbane,Afternoon
Chicken,65,Brisbane,Afternoon
Chicken,85,Perth,Afternoon
Tomato,9,Sydney,Morning
Shampoo,46,Sydney,Afternoon
Cookie,33,Melbourne,Afternoon
Carrot,100,Brisbane,Morning
Cookie,67,Brisbane,Afternoon
Cookie,33,Melbourne,Morning
Chicken,61,Sydney,Morning
Banana,76,Sydney,Morning
Soap,26,Melbourne,Afternoon
Orange,79,Perth,Afternoon
Orange,75,Perth,Morning
Pie,64,Melbourne,Afternoon
Cookie,16,Canberra,Morning
Shampoo,64,Perth,Afternoon
Fish,9,Perth,Morning
Carrot,55,Canberra,Afternoon
Chicken,45,Canberra,Morning
Shampoo,80,Brisbane,Afternoon
Banana,91,Brisbane,Morning
Orange,76,Canberra,Afternoon
Shampoo,61,Canberra,Morning
Fish,47,Sydney,Afternoon
Carrot,72,Melbourne,Afternoon
Fish,24,Perth,Morning
Pie,11,Sydney,Afternoon
Tomato,90,Sydney,Afternoon
Orange,39,Sydney,Afternoon
Orange,26,Canberra,Afternoon
Banana,72,Brisbane,Afternoon
Tomato,19,Sydney,Afternoon
Banana,15,Brisbane,Afternoon
Tomato,42,Perth,Afternoon
Cookie,5,Canberra,Afternoon
Chicken,26,Melbourne,Afternoon
Soap,16,Brisbane,Afternoon
Chicken,39,Canberra,Afternoon
Soap,73,Perth,Afternoon
Chicken,71,Brisbane,Afternoon
Shampoo,51,Canberra,Morning
Carrot,30,Perth,Afternoon
Tomato,52,Brisbane,Morning
Tomato,60,Perth,Afternoon
Orange,22,Canberra,Afternoon
Orange,15,Canberra,Afternoon
Soap,91,Perth,Afternoon
Chicken,77,Brisbane,Afternoon
Soap,31,Canberra,Morning
Banana,97,Sydney,Morning
Tomato,5,Melbourne,Morning
Chicken,67,Brisbane,Afternoon
Carrot,60,Canberra,Morning
Fish,55,Melbourne,Afternoon
Orange,69,Melbourne,Morning
Cookie,100,Brisbane,Morning
Banana,76,Perth,Afternoon
Banana,24,Perth,Morning
Carrot,28,Melbourne,Afternoon
Banana,41,Sydney,Afternoon
Orange,34,Canberra,Afternoon
Orange,7,Canberra,Morning
Pie,16,Brisbane,Afternoon
Chicken,59,Sydney,Afternoon
Banana,60,Melbourne,Morning
Cookie,76,Perth,Afternoon
Cookie,5,Perth,Afternoon
Soap,23,Perth,Afternoon
Shampoo,96,Brisbane,Morning
Chicken,9,Brisbane,Afternoon
Carrot,79,Sydney,Afternoon
Carrot,80,Perth,Afternoon
Banana,17,Melbourne,Morning
Cookie,90,Melbourne,Afternoon
Fish,63,Sydney,Afternoon
Shampoo,73,Perth,Afternoon
Tomato,98,Melbourne,Afternoon
Orange,60,Canberra,Morning
Shampoo,16,Sydney,Morning
Carrot,17,Brisbane,Afternoon
Soap,7,Sydney,Morning
Tomato,98,Perth,Afternoon
Pie,12,Brisbane,Afternoon
Tomato,69,Sydney,Morning
Soap,56,Sydney,Afternoon
Soap,89,Perth,Morning
Carrot,50,Canberra,Morning
Shampoo,57,Canberra,Afternoon
Pie,93,Canberra,Afternoon
Chicken,31,Canberra,Morning
Orange,46,Perth,Morning
Cookie,67,Melbourne,Morning
Pie,48,Brisbane,Morning
Banana,34,Sydney,Afternoon
Fish,78,Brisbane,Afternoon
Pie,30,Canberra,Afternoon
Tomato,29,Canberra,Morning
Tomato,94,Melbourne,Afternoon
Tomato,37,Melbourne,Afternoon
Cookie,94,Perth,Afternoon
Soap,93,Perth,Afternoon
Pie,91,Brisbane,Morning
Tomato,40,Melbourne,Afternoon
Pie,89,Brisbane,Afternoon
Shampoo,66,Melbourne,Afternoon
Banana,98,Brisbane,Morning
Shampoo,17,Perth,Afternoon
Shampoo,57,Perth,Morning
Fish,43,Canberra,Morning
Chicken,35,Melbourne,Afternoon
Orange,8,Sydney,Afternoon
Tomato,43,Perth,Morning
Shampoo,41,Sydney,Afternoon
Orange,52,Sydney,Morning
Chicken,22,Melbourne,Afternoon
Carrot,36,Melbourne,Morning
Fish,6,Sydney,Afternoon
Banana,26,Sydney,Afternoon
Banana,10,Melbourne,Afternoon
Tomato,57,Brisbane,Afternoon
Shampoo,86,Canberra,Morning
Chicken,28,Melbourne,Afternoon
Carrot,73,Perth,Morning
Cookie,64,Perth,Afternoon
Cookie,94,Sydney,Afternoon
Fish,58,Perth,Afternoon
Tomato,47,Sydney,Morning
Fish,90,Melbourne,Afternoon
Shampoo,18,Brisbane,Morning
Pie,87,Brisbane,Afternoon
Orange,30,Brisbane,Afternoon
Soap,98,Canberra,Morning
Soap,98,Melbourne,Morning
Chicken,28,Brisbane,Afternoon
Cookie,33,Perth,Morning
Pie,99,Canberra,Afternoon
Shampoo,37,Melbourne,Afternoon
Orange,42,Perth,Afternoon
Shampoo,26,Canberra,Afternoon
Tomato,66,Canberra,Morning
Orange,45,Brisbane,Morning
Soap,86,Sydney,Morning
Soap,35,Perth,Afternoon
Tomato,64,Brisbane,Morning
Tomato,78,Melbourne,Morning
Carrot,19,Melbourne,Morning
Pie,48,Perth,Morning
Orange,75,Perth,Morning
Banana,52,Melbourne,Morning
Carrot,59,Brisbane,Afternoon
Cookie,16,Perth,Morning
Fish,42,Sydney,Morning
Fish,54,Canberra,Morning
Cookie,16,Sydney,Afternoon
Chicken,62,Sydney,Afternoon
Chicken,5,Brisbane,Morning
Cookie,34,Melbourne,Morning
Tomato,53,Sydney,Morning
Orange,27,Brisbane,Afternoon
Orange,64,Sydney,Morning
Soap,93,Perth,Afternoon
Tomato,48,Canberra,Morning
Banana,66,Sydney,Afternoon
Carrot,35,Canberra,Afternoon
Chicken,91,Perth,Afternoon
Orange,61,Sydney,Morning
Chicken,23,Melbourne,Morning
Tomato,81,Brisbane,Afternoon
Carrot,12,Perth,Morning
Banana,73,Perth,Morning
Tomato,41,Brisbane,Afternoon
Banana,91,Sydney,Morning
Chicken,26,Perth,Afternoon
Tomato,87,Brisbane,Morning
Shampoo,61,Canberra,Afternoon
Orange,26,Perth,Morning
Shampoo,81,Melbourne,Afternoon
Soap,100,Sydney,Morning
Tomato,98,Sydney,Afternoon
Soap,18,Brisbane,Morning
Banana,22,Perth,Morning
Cookie,88,Sydney,Afternoon
Orange,31,Perth,Morning
